time(UTC),GHI,DNI,DHI
20090101:0000,0.0,0.0,0.0
20090101:0100,0.0,0.0,0.0
20090101:0200,0.0,0.0,0.0
20090101:0300,0.0,0.0,0.0
20090101:0400,0.0,0.0,0.0
20090101:0500,0.0,0.0,0.0
20090101:0600,0.0,0.0,0.0
20090101:0700,0.0,0.0,0.0
20090101:0800,2.0,0.0,2.0
20090101:0900,42.0,0.0,42.0
20090101:1000,72.0,0.0,72.0
20090101:1100,93.0,3.43,92.0
20090101:1200,72.0,0.0,72.0
20090101:1300,63.0,0.0,63.0
20090101:1400,46.0,0.0,46.0
20090101:1500,21.0,0.0,21.0
20090101:1600,0.0,0.0,0.0
20090101:1700,0.0,0.0,0.0
20090101:1800,0.0,0.0,0.0
20090101:1900,0.0,0.0,0.0
20090101:2000,0.0,0.0,0.0
20090101:2100,0.0,0.0,0.0
20090101:2200,0.0,0.0,0.0
20090101:2300,0.0,0.0,0.0
20090102:0000,0.0,0.0,0.0
20090102:0100,0.0,0.0,0.0
20090102:0200,0.0,0.0,0.0
20090102:0300,0.0,0.0,0.0
20090102:0400,0.0,0.0,0.0
20090102:0500,0.0,0.0,0.0
20090102:0600,0.0,0.0,0.0
20090102:0700,0.0,0.0,0.0
20090102:0800,6.25,0.0,6.25
20090102:0900,72.4,139.83,50.35
20090102:1000,215.0,582.84,73.0
20090102:1100,155.4,224.37,89.7
20090102:1200,234.0,341.19,131.0
20090102:1300,145.7,213.71,87.95
20090102:1400,74.0,15.0,71.0
20090102:1500,38.05,103.67,28.1
20090102:1600,0.0,0.0,0.0
20090102:1700,0.0,0.0,0.0
20090102:1800,0.0,0.0,0.0
20090102:1900,0.0,0.0,0.0
20090102:2000,0.0,0.0,0.0
20090102:2100,0.0,0.0,0.0
20090102:2200,0.0,0.0,0.0
20090102:2300,0.0,0.0,0.0
20090103:0000,0.0,0.0,0.0
20090103:0100,0.0,0.0,0.0
20090103:0200,0.0,0.0,0.0
20090103:0300,0.0,0.0,0.0
20090103:0400,0.0,0.0,0.0
20090103:0500,0.0,0.0,0.0
20090103:0600,0.0,0.0,0.0
20090103:0700,0.0,0.0,0.0
20090103:0800,12.0,0.0,12.0
20090103:0900,74.6,145.21,51.6
20090103:1000,217.0,592.71,72.0
20090103:1100,173.55,278.95,91.5
20090103:1200,279.0,625.99,89.0
20090103:1300,164.25,262.37,92.85
20090103:1400,169.0,519.48,64.0
20090103:1500,41.35,114.49,30.1
20090103:1600,0.0,0.0,0.0
20090103:1700,0.0,0.0,0.0
20090103:1800,0.0,0.0,0.0
20090103:1900,0.0,0.0,0.0
20090103:2000,0.0,0.0,0.0
20090103:2100,0.0,0.0,0.0
20090103:2200,0.0,0.0,0.0
20090103:2300,0.0,0.0,0.0
20090104:0000,0.0,0.0,0.0
20090104:0100,0.0,0.0,0.0
20090104:0200,0.0,0.0,0.0
20090104:0300,0.0,0.0,0.0
20090104:0400,0.0,0.0,0.0
20090104:0500,0.0,0.0,0.0
20090104:0600,0.0,0.0,0.0
20090104:0700,0.0,0.0,0.0
20090104:0800,10.0,0.0,10.0
20090104:0900,68.65,111.49,50.9
20090104:1000,187.0,345.85,102.0
20090104:1100,148.9,201.12,89.45
20090104:1200,189.0,144.13,145.0
20090104:1300,131.45,174.9,83.5
20090104:1400,74.0,9.79,72.0
20090104:1500,35.65,72.03,28.4
20090104:1600,0.0,0.0,0.0
20090104:1700,0.0,0.0,0.0
20090104:1800,0.0,0.0,0.0
20090104:1900,0.0,0.0,0.0
20090104:2000,0.0,0.0,0.0
20090104:2100,0.0,0.0,0.0
20090104:2200,0.0,0.0,0.0
20090104:2300,0.0,0.0,0.0
20090105:0000,0.0,0.0,0.0
20090105:0100,0.0,0.0,0.0
20090105:0200,0.0,0.0,0.0
20090105:0300,0.0,0.0,0.0
20090105:0400,0.0,0.0,0.0
20090105:0500,0.0,0.0,0.0
20090105:0600,0.0,0.0,0.0
20090105:0700,0.0,0.0,0.0
20090105:0800,9.0,0.0,9.0
20090105:0900,70.95,135.19,49.3
20090105:1000,29.0,0.0,29.0
20090105:1100,155.75,211.83,92.8
20090105:1200,71.0,0.0,71.0
20090105:1300,125.7,156.89,82.35
20090105:1400,17.0,0.0,17.0
20090105:1500,38.85,79.5,30.65
20090105:1600,0.0,0.0,0.0
20090105:1700,0.0,0.0,0.0
20090105:1800,0.0,0.0,0.0
20090105:1900,0.0,0.0,0.0
20090105:2000,0.0,0.0,0.0
20090105:2100,0.0,0.0,0.0
20090105:2200,0.0,0.0,0.0
20090105:2300,0.0,0.0,0.0
20090106:0000,0.0,0.0,0.0
20090106:0100,0.0,0.0,0.0
20090106:0200,0.0,0.0,0.0
20090106:0300,0.0,0.0,0.0
20090106:0400,0.0,0.0,0.0
20090106:0500,0.0,0.0,0.0
20090106:0600,0.0,0.0,0.0
20090106:0700,0.0,0.0,0.0
20090106:0800,5.0,0.0,5.0
20090106:0900,76.55,164.38,50.05
20090106:1000,128.0,68.43,111.0
20090106:1100,140.05,157.26,93.05
20090106:1200,162.0,67.93,141.0
20090106:1300,116.55,123.13,82.25
20090106:1400,121.0,133.86,93.0
20090106:1500,41.1,96.94,30.85
20090106:1600,0.0,0.0,0.0
20090106:1700,0.0,0.0,0.0
20090106:1800,0.0,0.0,0.0
20090106:1900,0.0,0.0,0.0
20090106:2000,0.0,0.0,0.0
20090106:2100,0.0,0.0,0.0
20090106:2200,0.0,0.0,0.0
20090106:2300,0.0,0.0,0.0
20090107:0000,0.0,0.0,0.0
20090107:0100,0.0,0.0,0.0
20090107:0200,0.0,0.0,0.0
20090107:0300,0.0,0.0,0.0
20090107:0400,0.0,0.0,0.0
20090107:0500,0.0,0.0,0.0
20090107:0600,0.0,0.0,0.0
20090107:0700,0.0,0.0,0.0
20090107:0800,3.0,0.0,3.0
20090107:0900,77.45,173.95,49.2
20090107:1000,136.0,92.03,113.0
20090107:1100,141.0,161.79,92.35
20090107:1200,169.0,77.1,145.0
20090107:1300,118.7,126.01,83.3
20090107:1400,35.0,0.0,35.0
20090107:1500,42.75,101.92,31.7
20090107:1600,0.0,0.0,0.0
20090107:1700,0.0,0.0,0.0
20090107:1800,0.0,0.0,0.0
20090107:1900,0.0,0.0,0.0
20090107:2000,0.0,0.0,0.0
20090107:2100,0.0,0.0,0.0
20090107:2200,0.0,0.0,0.0
20090107:2300,0.0,0.0,0.0
20090108:0000,0.0,0.0,0.0
20090108:0100,0.0,0.0,0.0
20090108:0200,0.0,0.0,0.0
20090108:0300,0.0,0.0,0.0
20090108:0400,0.0,0.0,0.0
20090108:0500,0.0,0.0,0.0
20090108:0600,0.0,0.0,0.0
20090108:0700,0.0,0.0,0.0
20090108:0800,10.0,0.0,10.0
20090108:0900,75.15,155.45,49.7
20090108:1000,161.0,174.92,117.0
20090108:1100,143.55,170.5,91.95
20090108:1200,199.0,153.11,151.0
20090108:1300,134.45,143.08,93.9
20090108:1400,135.0,181.89,96.0
20090108:1500,42.05,93.51,31.65
20090108:1600,0.0,0.0,0.0
20090108:1700,0.0,0.0,0.0
20090108:1800,0.0,0.0,0.0
20090108:1900,0.0,0.0,0.0
20090108:2000,0.0,0.0,0.0
20090108:2100,0.0,0.0,0.0
20090108:2200,0.0,0.0,0.0
20090108:2300,0.0,0.0,0.0
20090109:0000,0.0,0.0,0.0
20090109:0100,0.0,0.0,0.0
20090109:0200,0.0,0.0,0.0
20090109:0300,0.0,0.0,0.0
20090109:0400,0.0,0.0,0.0
20090109:0500,0.0,0.0,0.0
20090109:0600,0.0,0.0,0.0
20090109:0700,0.0,0.0,0.0
20090109:0800,13.0,0.0,13.0
20090109:0900,74.75,137.45,52.05
20090109:1000,174.0,232.93,115.0
20090109:1100,144.35,178.87,89.85
20090109:1200,215.0,205.79,150.0
20090109:1300,123.3,100.87,94.45
20090109:1400,142.0,211.79,96.0
20090109:1500,39.05,64.42,31.7
20090109:1600,0.0,0.0,0.0
20090109:1700,0.0,0.0,0.0
20090109:1800,0.0,0.0,0.0
20090109:1900,0.0,0.0,0.0
20090109:2000,0.0,0.0,0.0
20090109:2100,0.0,0.0,0.0
20090109:2200,0.0,0.0,0.0
20090109:2300,0.0,0.0,0.0
20090110:0000,0.0,0.0,0.0
20090110:0100,0.0,0.0,0.0
20090110:0200,0.0,0.0,0.0
20090110:0300,0.0,0.0,0.0
