time(UTC),GHI,DNI,DHI
20140101:0000,0.0,0.0,0.0
20140101:0100,0.0,0.0,0.0
20140101:0200,0.0,0.0,0.0
20140101:0300,0.0,0.0,0.0
20140101:0400,0.0,0.0,0.0
20140101:0500,0.0,0.0,0.0
20140101:0600,0.0,0.0,0.0
20140101:0700,0.0,0.0,0.0
20140101:0800,30.0,146.73,21.0
20140101:0900,113.0,216.37,75.0
20140101:1000,139.0,85.32,117.0
20140101:1100,246.0,416.63,120.0
20140101:1200,225.0,287.3,137.0
20140101:1300,143.0,78.01,122.0
20140101:1400,99.0,82.61,83.0
20140101:1500,24.0,11.78,23.0
20140101:1600,0.0,0.0,0.0
20140101:1700,0.0,0.0,0.0
20140101:1800,0.0,0.0,0.0
20140101:1900,0.0,0.0,0.0
20140101:2000,0.0,0.0,0.0
20140101:2100,0.0,0.0,0.0
20140101:2200,0.0,0.0,0.0
20140101:2300,0.0,0.0,0.0
20140102:0000,0.0,0.0,0.0
20140102:0100,0.0,0.0,0.0
20140102:0200,0.0,0.0,0.0
20140102:0300,0.0,0.0,0.0
20140102:0400,0.0,0.0,0.0
20140102:0500,0.0,0.0,0.0
20140102:0600,0.0,0.0,0.0
20140102:0700,0.0,0.0,0.0
20140102:0800,33.0,194.65,21.0
20140102:0900,40.0,0.0,40.0
20140102:1000,21.0,0.0,21.0
20140102:1100,287.0,704.74,73.0
20140102:1200,269.0,535.99,104.0
20140102:1300,242.0,601.41,79.0
20140102:1400,139.0,306.55,79.0
20140102:1500,16.0,0.0,16.0
20140102:1600,0.0,0.0,0.0
20140102:1700,0.0,0.0,0.0
20140102:1800,0.0,0.0,0.0
20140102:1900,0.0,0.0,0.0
20140102:2000,0.0,0.0,0.0
20140102:2100,0.0,0.0,0.0
20140102:2200,0.0,0.0,0.0
20140102:2300,0.0,0.0,0.0
20140103:0000,0.0,0.0,0.0
20140103:0100,0.0,0.0,0.0
20140103:0200,0.0,0.0,0.0
20140103:0300,0.0,0.0,0.0
20140103:0400,0.0,0.0,0.0
20140103:0500,0.0,0.0,0.0
20140103:0600,0.0,0.0,0.0
20140103:0700,0.0,0.0,0.0
20140103:0800,22.0,32.22,20.0
20140103:0900,128.0,333.44,69.0
20140103:1000,208.0,415.7,100.0
20140103:1100,103.0,3.28,102.0
20140103:1200,278.0,591.26,95.0
20140103:1300,245.0,615.46,77.0
20140103:1400,90.0,45.48,81.0
20140103:1500,7.0,0.0,7.0
20140103:1600,0.0,0.0,0.0
20140103:1700,0.0,0.0,0.0
20140103:1800,0.0,0.0,0.0
20140103:1900,0.0,0.0,0.0
20140103:2000,0.0,0.0,0.0
20140103:2100,0.0,0.0,0.0
20140103:2200,0.0,0.0,0.0
20140103:2300,0.0,0.0,0.0
20140104:0000,0.0,0.0,0.0
20140104:0100,0.0,0.0,0.0
20140104:0200,0.0,0.0,0.0
20140104:0300,0.0,0.0,0.0
20140104:0400,0.0,0.0,0.0
20140104:0500,0.0,0.0,0.0
20140104:0600,0.0,0.0,0.0
20140104:0700,0.0,0.0,0.0
20140104:0800,20.0,15.97,19.0
20140104:0900,49.0,0.0,49.0
20140104:1000,118.0,34.49,109.0
20140104:1100,69.0,0.0,69.0
20140104:1200,185.0,118.86,148.0
20140104:1300,136.0,54.54,121.0
20140104:1400,86.0,34.97,79.0
20140104:1500,31.0,21.79,29.0
20140104:1600,0.0,0.0,0.0
20140104:1700,0.0,0.0,0.0
20140104:1800,0.0,0.0,0.0
20140104:1900,0.0,0.0,0.0
20140104:2000,0.0,0.0,0.0
20140104:2100,0.0,0.0,0.0
20140104:2200,0.0,0.0,0.0
20140104:2300,0.0,0.0,0.0
20140105:0000,0.0,0.0,0.0
20140105:0100,0.0,0.0,0.0
20140105:0200,0.0,0.0,0.0
20140105:0300,0.0,0.0,0.0
20140105:0400,0.0,0.0,0.0
20140105:0500,0.0,0.0,0.0
20140105:0600,0.0,0.0,0.0
20140105:0700,0.0,0.0,0.0
20140105:0800,29.0,126.37,21.0
20140105:0900,103.0,145.45,77.0
20140105:1000,137.0,76.26,117.0
20140105:1100,133.0,22.72,126.0
20140105:1200,89.0,0.0,89.0
20140105:1300,111.0,18.04,106.0
20140105:1400,128.0,197.51,88.0
20140105:1500,62.0,350.02,29.0
20140105:1600,0.0,0.0,0.0
20140105:1700,0.0,0.0,0.0
20140105:1800,0.0,0.0,0.0
20140105:1900,0.0,0.0,0.0
20140105:2000,0.0,0.0,0.0
20140105:2100,0.0,0.0,0.0
20140105:2200,0.0,0.0,0.0
20140105:2300,0.0,0.0,0.0
20140106:0000,0.0,0.0,0.0
20140106:0100,0.0,0.0,0.0
20140106:0200,0.0,0.0,0.0
20140106:0300,0.0,0.0,0.0
20140106:0400,0.0,0.0,0.0
20140106:0500,0.0,0.0,0.0
20140106:0600,0.0,0.0,0.0
20140106:0700,0.0,0.0,0.0
20140106:0800,37.0,265.22,20.0
20140106:0900,125.0,289.14,73.0
20140106:1000,169.0,178.26,122.0
20140106:1100,112.0,6.45,110.0
20140106:1200,91.0,0.0,91.0
20140106:1300,105.0,10.73,102.0
20140106:1400,88.0,34.15,81.0
20140106:1500,19.0,0.0,19.0
20140106:1600,0.0,0.0,0.0
20140106:1700,0.0,0.0,0.0
20140106:1800,0.0,0.0,0.0
20140106:1900,0.0,0.0,0.0
20140106:2000,0.0,0.0,0.0
20140106:2100,0.0,0.0,0.0
20140106:2200,0.0,0.0,0.0
20140106:2300,0.0,0.0,0.0
20140107:0000,0.0,0.0,0.0
20140107:0100,0.0,0.0,0.0
20140107:0200,0.0,0.0,0.0
20140107:0300,0.0,0.0,0.0
20140107:0400,0.0,0.0,0.0
20140107:0500,0.0,0.0,0.0
20140107:0600,0.0,0.0,0.0
20140107:0700,0.0,0.0,0.0
20140107:0800,29.0,107.68,22.0
20140107:0900,146.0,491.57,57.0
20140107:1000,121.0,37.71,111.0
20140107:1100,109.0,6.42,107.0
20140107:1200,310.0,778.25,63.0
20140107:1300,94.0,3.55,93.0
20140107:1400,75.0,14.45,72.0
20140107:1500,6.0,0.0,6.0
20140107:1600,0.0,0.0,0.0
20140107:1700,0.0,0.0,0.0
20140107:1800,0.0,0.0,0.0
20140107:1900,0.0,0.0,0.0
20140107:2000,0.0,0.0,0.0
20140107:2100,0.0,0.0,0.0
20140107:2200,0.0,0.0,0.0
20140107:2300,0.0,0.0,0.0
20140108:0000,0.0,0.0,0.0
20140108:0100,0.0,0.0,0.0
20140108:0200,0.0,0.0,0.0
20140108:0300,0.0,0.0,0.0
20140108:0400,0.0,0.0,0.0
20140108:0500,0.0,0.0,0.0
20140108:0600,0.0,0.0,0.0
20140108:0700,0.0,0.0,0.0
20140108:0800,29.0,106.0,22.0
20140108:0900,141.0,422.18,64.0
20140108:1000,222.0,475.93,95.0
20140108:1100,297.0,701.39,77.0
20140108:1200,184.0,103.24,151.0
20140108:1300,166.0,119.56,132.0
20140108:1400,56.0,0.0,56.0
20140108:1500,47.0,87.91,38.0
20140108:1600,0.0,0.0,0.0
20140108:1700,0.0,0.0,0.0
20140108:1800,0.0,0.0,0.0
20140108:1900,0.0,0.0,0.0
20140108:2000,0.0,0.0,0.0
20140108:2100,0.0,0.0,0.0
20140108:2200,0.0,0.0,0.0
20140108:2300,0.0,0.0,0.0
20140109:0000,0.0,0.0,0.0
20140109:0100,0.0,0.0,0.0
20140109:0200,0.0,0.0,0.0
20140109:0300,0.0,0.0,0.0
20140109:0400,0.0,0.0,0.0
20140109:0500,0.0,0.0,0.0
20140109:0600,0.0,0.0,0.0
20140109:0700,0.0,0.0,0.0
20140109:0800,24.0,44.65,21.0
20140109:0900,58.0,5.44,57.0
20140109:1000,189.0,256.86,120.0
20140109:1100,184.0,110.85,149.0
20140109:1200,76.0,0.0,76.0
20140109:1300,106.0,10.45,103.0
20140109:1400,62.0,0.0,62.0
20140109:1500,19.0,0.0,19.0
20140109:1600,0.0,0.0,0.0
20140109:1700,0.0,0.0,0.0
20140109:1800,0.0,0.0,0.0
20140109:1900,0.0,0.0,0.0
20140109:2000,0.0,0.0,0.0
20140109:2100,0.0,0.0,0.0
20140109:2200,0.0,0.0,0.0
20140109:2300,0.0,0.0,0.0
20140110:0000,0.0,0.0,0.0
20140110:0100,0.0,0.0,0.0
20140110:0200,0.0,0.0,0.0
20140110:0300,0.0,0.0,0.0
20140110:0400,0.0,0.0,0.0
20140110:0500,0.0,0.0,0.0
20140110:0600,0.0,0.0,0.0
20140110:0700,0.0,0.0,0.0
20140110:0800,16.0,0.0,16.0
20140110:0900,67.0,16.18,64.0
20140110:1000,64.0,0.0,64.0
20140110:1100,89.0,0.0,89.0
20140110:1200,96.0,0.0,96.0
20140110:1300,46.0,0.0,46.0
20140110:1400,131.0,162.07,96.0
20140110:1500,43.0,46.19,38.0
20140110:1600,0.0,0.0,0.0
20140110:1700,0.0,0.0,0.0
20140110:1800,0.0,0.0,0.0
20140110:1900,0.0,0.0,0.0
20140110:2000,0.0,0.0,0.0
20140110:2100,0.0,0.0,0.0
20140110:2200,0.0,0.0,0.0
20140110:2300,0.0,0.0,0.0
20140111:0000,0.0,0.0,0.0
20140111:0100,0.0,0.0,0.0
20140111:0200,0.0,0.0,0.0
20140111:0300,0.0,0.0,0.0
20140111:0400,0.0,0.0,0.0
20140111:0500,0.0,0.0,0.0
20140111:0600,0.0,0.0,0.0
20140111:0700,0.0,0.0,0.0
20140111:0800,23.0,28.63,21.0
20140111:0900,87.0,53.44,77.0
20140111:1000,190.0,245.84,123.0
20140111:1100,288.0,586.97,100.0
20140111:1200,326.0,831.52,54.0
20140111:1300,282.0,775.94,55.0
20140111:1400,188.0,575.47,62.0
20140111:1500,66.0,215.56,42.0
20140111:1600,0.0,0.0,0.0
20140111:1700,0.0,0.0,0.0
20140111:1800,0.0,0.0,0.0
20140111:1900,0.0,0.0,0.0
20140111:2000,0.0,0.0,0.0
20140111:2100,0.0,0.0,0.0
20140111:2200,0.0,0.0,0.0
20140111:2300,0.0,0.0,0.0
20140112:0000,0.0,0.0,0.0
20140112:0100,0.0,0.0,0.0
20140112:0200,0.0,0.0,0.0
20140112:0300,0.0,0.0,0.0
20140112:0400,0.0,0.0,0.0
20140112:0500,0.0,0.0,0.0
20140112:0600,0.0,0.0,0.0
20140112:0700,0.0,0.0,0.0
20140112:0800,22.0,14.01,21.0
20140112:0900,66.0,10.59,64.0
20140112:1000,92.0,3.64,91.0
20140112:1100,80.0,0.0,80.0
20140112:1200,78.0,0.0,78.0
20140112:1300,62.0,0.0,62.0
20140112:1400,65.0,0.0,65.0
20140112:1500,30.0,0.0,30.0
20140112:1600,0.0,0.0,0.0
20140112:1700,0.0,0.0,0.0
20140112:1800,0.0,0.0,0.0
20140112:1900,0.0,0.0,0.0
20140112:2000,0.0,0.0,0.0
20140112:2100,0.0,0.0,0.0
20140112:2200,0.0,0.0,0.0
20140112:2300,0.0,0.0,0.0
20140113:0000,0.0,0.0,0.0
20140113:0100,0.0,0.0,0.0
20140113:0200,0.0,0.0,0.0
20140113:0300,0.0,0.0,0.0
20140113:0400,0.0,0.0,0.0
20140113:0500,0.0,0.0,0.0
20140113:0600,0.0,0.0,0.0
20140113:0700,0.0,0.0,0.0
20140113:0800,22.0,13.7,21.0
20140113:0900,95.0,73.35,81.0
20140113:1000,92.0,3.61,91.0
20140113:1100,146.0,30.74,136.0
20140113:1200,138.0,18.04,132.0
20140113:1300,191.0,170.84,140.0
20140113:1400,52.0,0.0,52.0
20140113:1500,22.0,0.0,22.0
20140113:1600,0.0,0.0,0.0
20140113:1700,0.0,0.0,0.0
20140113:1800,0.0,0.0,0.0
20140113:1900,0.0,0.0,0.0
20140113:2000,0.0,0.0,0.0
20140113:2100,0.0,0.0,0.0
20140113:2200,0.0,0.0,0.0
20140113:2300,0.0,0.0,0.0
20140114:0000,0.0,0.0,0.0
20140114:0100,0.0,0.0,0.0
20140114:0200,0.0,0.0,0.0
20140114:0300,0.0,0.0,0.0
20140114:0400,0.0,0.0,0.0
20140114:0500,0.0,0.0,0.0
20140114:0600,0.0,0.0,0.0
20140114:0700,0.0,0.0,0.0
20140114:0800,25.6,74.95,20.0
20140114:0900,123.0,207.34,83.0
20140114:1000,70.0,0.0,70.0
20140114:1100,136.0,18.3,130.0
20140114:1200,129.0,8.94,126.0
20140114:1300,268.0,580.12,93.0
20140114:1400,73.0,4.38,72.0
20140114:1500,60.0,107.35,47.0
20140114:1600,0.0,0.0,0.0
20140114:1700,0.0,0.0,0.0
20140114:1800,0.0,0.0,0.0
20140114:1900,0.0,0.0,0.0
20140114:2000,0.0,0.0,0.0
20140114:2100,0.0,0.0,0.0
20140114:2200,0.0,0.0,0.0
20140114:2300,0.0,0.0,0.0
20140115:0000,0.0,0.0,0.0
20140115:0100,0.0,0.0,0.0
20140115:0200,0.0,0.0,0.0
20140115:0300,0.0,0.0,0.0
20140115:0400,0.0,0.0,0.0
20140115:0500,0.0,0.0,0.0
20140115:0600,0.0,0.0,0.0
20140115:0700,0.0,0.0,0.0
20140115:0800,13.0,0.0,13.0
20140115:0900,43.0,0.0,43.0
20140115:1000,107.0,10.65,104.0
20140115:1100,82.0,0.0,82.0
20140115:1200,153.0,29.53,143.0
20140115:1300,74.0,0.0,74.0
20140115:1400,70.0,0.0,70.0
20140115:1500,31.0,0.0,31.0
20140115:1600,0.0,0.0,0.0
20140115:1700,0.0,0.0,0.0
20140115:1800,0.0,0.0,0.0
20140115:1900,0.0,0.0,0.0
20140115:2000,0.0,0.0,0.0
20140115:2100,0.0,0.0,0.0
20140115:2200,0.0,0.0,0.0
20140115:2300,0.0,0.0,0.0
20140116:0000,0.0,0.0,0.0
20140116:0100,0.0,0.0,0.0
20140116:0200,0.0,0.0,0.0
20140116:0300,0.0,0.0,0.0
20140116:0400,0.0,0.0,0.0
20140116:0500,0.0,0.0,0.0
20140116:0600,0.0,0.0,0.0
20140116:0700,0.0,0.0,0.0
20140116:0800,7.0,0.0,7.0
20140116:0900,108.0,111.46,86.0
20140116:1000,151.0,77.36,129.0
20140116:1100,116.0,3.0,115.0
20140116:1200,164.0,40.96,150.0
20140116:1300,91.0,0.0,91.0
20140116:1400,98.0,25.5,92.0
20140116:1500,14.0,0.0,14.0
20140116:1600,0.0,0.0,0.0
20140116:1700,0.0,0.0,0.0
20140116:1800,0.0,0.0,0.0
20140116:1900,0.0,0.0,0.0
20140116:2000,0.0,0.0,0.0
20140116:2100,0.0,0.0,0.0
20140116:2200,0.0,0.0,0.0
20140116:2300,0.0,0.0,0.0
20140117:0000,0.0,0.0,0.0
